match,second,live_prior,ds_prior,delta_live_prior,delta_ds_prior
grid-2964617-m1,573,0.49,0.44,0.01858125819671641,0.011688809695592333
grid-2964617-m1,584,0.49,0.44,0.019924694911418347,0.018548738891980752
grid-2964617-m1,587,0.49,0.44,0.018955156476888814,0.016401372821569688
grid-2964617-m1,595,0.49,0.44,0.018422010731536258,0.015868227076217135
grid-2964617-m1,601,0.49,0.44,0.018461149639421685,0.014184736093514061
grid-2964617-m1,603,0.49,0.44,0.025763204356169966,0.02124955300544726
grid-2964617-m1,604,0.49,0.44,0.018681023129447395,0.016127239474128273
grid-2964617-m1,611,0.49,0.44,0.02525667985964989,0.01552363726155689
grid-2964617-m1,615,0.49,0.44,0.03192138302055265,0.027723305215194383
grid-2964617-m1,629,0.49,0.44,0.02964251813477036,0.02023102167231809
grid-2964617-m1,660,0.49,0.44,0.027632748165632687,0.0182047224761964
grid-2964617-m1,664,0.49,0.44,0.018907540030202476,0.014631126484294857
grid-2964617-m1,677,0.49,0.44,0.0225514371362193,0.009871169124748244
grid-2964617-m1,679,0.49,0.44,0.02355813345082956,0.012302672238194834
grid-2964617-m1,686,0.49,0.44,0.030941338803703887,0.02376376566363985
grid-2964617-m1,687,0.49,0.44,0.02346619939492534,0.018445424357812705
grid-2964617-m1,690,0.49,0.44,0.019224145693685694,0.012430198202311577
grid-2964617-m1,692,0.49,0.44,0.01504109159087443,0.010397552911541166
grid-2964617-m1,693,0.49,0.44,0.015168807550345406,0.01052526887101214
grid-2964617-m1,700,0.49,0.44,0.018425073034397534,0.01568251807709573
grid-2964617-m1,701,0.49,0.44,0.017874588059813686,0.016846608997135255
grid-2964617-m1,704,0.49,0.44,0.01955622272386728,0.01854657647855563
grid-2964617-m1,716,0.49,0.44,0.022919109391411407,0.025614994208564022
grid-2964617-m1,717,0.49,0.44,0.024617298937691778,0.02656998831598164
grid-2964617-m1,728,0.49,0.44,0.025299923438234406,0.026934907432293227
grid-2964617-m1,731,0.49,0.44,0.025299923438234406,0.026934907432293227
grid-2964617-m1,740,0.49,0.44,0.034643614717625996,0.040136139799149345
grid-2964617-m1,746,0.49,0.44,0.013435058681421048,0.024854701961749204
grid-2964617-m1,754,0.49,0.44,0.011858989793559134,0.017861371724942256
grid-2964617-m1,757,0.49,0.44,0.015334648262985551,0.02058778898862345
grid-2964617-m1,761,0.49,0.44,0.010744049586484157,0.015604188425856383
grid-2964617-m1,761,0.49,0.44,0.010744049586484157,0.015604188425856383
grid-2964617-m1,774,0.49,0.44,0.016764814644037767,0.021737702983095113
grid-2964617-m1,788,0.49,0.44,0.02339929024982319,0.031357283364002335
grid-2964617-m1,797,0.49,0.44,0.030160186101311916,0.04063111514448886
grid-2964617-m1,840,0.49,0.44,0.02712439002221953,0.03810258002102215
grid-2964617-m1,843,0.49,0.44,0.031177687803160326,0.04138736421917638
grid-2964617-m1,845,0.49,0.44,0.031177687803160326,0.04138736421917638
grid-2964617-m1,850,0.49,0.44,0.031177687803160326,0.04138736421917638
grid-2964617-m1,851,0.49,0.44,0.031177687803160326,0.04138736421917638
grid-2964617-m1,853,0.49,0.44,0.031241503135452257,0.04166569359728054
grid-2964617-m1,854,0.49,0.44,0.030401220669162076,0.04803214154286007
grid-2964617-m1,854,0.49,0.44,0.030401220669162076,0.04803214154286007
grid-2964617-m1,855,0.49,0.44,0.030401220669162076,0.04803214154286007
grid-2964617-m1,862,0.49,0.44,0.030401220669162076,0.04803214154286007
grid-2964617-m1,864,0.49,0.44,0.029570987125131076,0.047277285507604974
grid-2964617-m1,865,0.49,0.44,0.029570987125131076,0.047277285507604974
grid-2964617-m1,865,0.49,0.44,0.029570987125131076,0.047277285507604974
grid-2964617-m1,867,0.49,0.44,0.03371736082293513,0.049395070526372035
grid-2964617-m1,875,0.49,0.44,0.0330274527330244,0.048644732925844064
grid-2964617-m1,877,0.49,0.44,0.0330274527330244,0.048644732925844064
grid-2964617-m1,881,0.49,0.44,0.03160326314719963,0.048026684687704775
grid-2964617-m1,883,0.49,0.44,0.032039679008853815,0.04682420354732465
grid-2964617-m1,887,0.49,0.44,0.023715345886588322,0.03989257426816268
grid-2964617-m1,893,0.49,0.44,0.024079915382098322,0.03999939409992704
grid-2964617-m1,901,0.49,0.44,0.02381018011920763,0.039729658837036344
grid-2964617-m1,901,0.49,0.44,0.02381018011920763,0.039729658837036344
grid-2964617-m1,910,0.49,0.44,0.032439076852455215,0.04796557756216936
grid-2964617-m1,912,0.49,0.44,0.032439076852455215,0.04796557756216936
grid-2964617-m1,923,0.49,0.44,0.03069714009588161,0.04763943670883093
