match,second,model,fair_live,fair_replay,err
grid-2964619-m1,297,20260904T193238Z,0.28752803642534025,0.28752803642534025,0.0
grid-2964619-m1,301,20260904T193238Z,0.2851619573749009,0.2851619573749009,0.0
grid-2964619-m1,305,20260904T193238Z,0.28752803642534025,0.28752803642534025,0.0
grid-2964619-m1,305,20260904T193238Z,0.2854088012517449,0.2854088012517449,0.0
grid-2964619-m1,311,20260904T193238Z,0.2854088012517449,0.2854088012517449,0.0
grid-2964619-m1,322,20260904T193238Z,0.2951619573749009,0.2951619573749009,0.0
grid-2964619-m1,322,20260904T193238Z,0.2954088012517449,0.2954088012517449,0.0
grid-2964619-m1,325,20260904T193238Z,0.30689651636186493,0.30689651636186493,0.0
grid-2964619-m1,333,20260904T193238Z,0.2964452239451431,0.2964452239451431,0.0
grid-2964619-m1,338,20260904T193238Z,0.2954088012517449,0.2954088012517449,0.0
grid-2964619-m1,346,20260904T193238Z,0.30752803642534027,0.30752803642534027,0.0
grid-2964619-m1,357,20260904T193238Z,0.32199111035979605,0.32199111035979605,0.0
grid-2964619-m1,361,20260904T193238Z,0.31333442421435176,0.31333442421435176,0.0
grid-2964619-m1,361,20260904T193238Z,0.3112151890407564,0.3112151890407564,0.0
grid-2964619-m1,368,20260904T193238Z,0.30225550740383533,0.30225550740383533,0.0
grid-2964619-m1,376,20260904T193238Z,0.2701619573749009,0.2701619573749009,0.0
grid-2964619-m1,377,20260904T193238Z,0.27058913816410635,0.27058913816410635,0.0
grid-2964619-m1,380,20260904T193238Z,0.2698010595701757,0.2698010595701757,0.0
grid-2964619-m1,387,20260904T193238Z,0.26723612084543635,0.26723612084543635,0.0
grid-2964619-m1,393,20260904T193238Z,0.25106627197429965,0.25106627197429965,0.0
grid-2964619-m1,393,20260904T193238Z,0.2507053741695745,0.2507053741695745,0.0
grid-2964619-m1,410,20260904T193238Z,0.25040521346313693,0.25040521346313693,0.0
grid-2964619-m1,421,20260904T193238Z,0.2509243590272781,0.2509243590272781,0.0
grid-2964619-m1,422,20260904T193238Z,0.24729553423900605,0.24729553423900605,0.0
grid-2964619-m1,425,20260904T193238Z,0.29765033148710185,0.29765033148710185,0.0
grid-2964619-m1,430,20260904T193238Z,0.32794668852081205,0.32794668852081205,0.0
grid-2964619-m1,432,20260904T193238Z,0.32621518904075636,0.32621518904075636,0.0
grid-2964619-m1,446,20260904T193238Z,0.30930497015483666,0.30930497015483666,0.0
grid-2964619-m1,448,20260904T193238Z,0.3051521093445908,0.3051521093445908,0.0
grid-2964619-m1,456,20260904T193238Z,0.3201693845037714,0.3201693845037714,0.0
grid-2964619-m1,474,20260904T193238Z,0.3246045721281547,0.3246045721281547,0.0
grid-2964619-m1,478,20260904T193238Z,0.32580504547969164,0.32580504547969164,0.0
grid-2964619-m1,478,20260904T193238Z,0.32580504547969164,0.32580504547969164,0.0
grid-2964619-m1,487,20260904T193238Z,0.32580504547969164,0.32580504547969164,0.0
grid-2964619-m1,503,20260904T193238Z,0.32960457212815464,0.32960457212815464,0.0
grid-2964619-m1,507,20260904T193238Z,0.2850667661306319,0.2850667661306319,0.0
grid-2964619-m1,508,20260904T193238Z,0.291578619698221,0.291578619698221,0.0
grid-2964619-m1,508,20260904T193238Z,0.291578619698221,0.291578619698221,0.0
grid-2964619-m1,510,20260904T193238Z,0.27157861969822106,0.27157861969822106,0.0
grid-2964619-m1,511,20260904T193238Z,0.27657861969822106,0.27657861969822106,0.0
